latitude,longitude
38.0984972,-85.8558046
38.2507318,-85.5904163
38.2456706,-85.6337935
38.0931369,-85.7452002
38.1362353,-85.7712499
38.1032101,-85.8727555
38.1850315,-85.5410653
38.2100297,-85.7996508
38.2301124,-85.7026153
38.1999978,-85.8045168
38.1742180,-85.8347616
38.1338489,-85.8662238
38.1907620,-85.6389126
38.2325627,-85.5754908
38.1699640,-85.6080211
38.2148675,-85.7321333
38.1363602,-85.8436676
38.2419531,-85.6486118
38.2454592,-85.6553817
38.2023270,-85.6926365
38.2587625,-85.5913913
38.1457765,-85.8757710
38.0941639,-85.8507229
38.1781799,-85.8550222
38.2466982,-85.8084887
38.2225643,-85.6680155
38.2181611,-85.7881805
38.2249437,-85.6510360
38.0778512,-85.8749498
38.1959411,-85.7733288
38.1941012,-85.7783519
38.2529142,-85.6666577
38.2103557,-85.7521088
38.2215653,-85.7541087
38.1696091,-85.8527844
38.2632381,-85.7897036
38.2642399,-85.7993220
38.2299982,-85.5768030
38.1366275,-85.6333334
38.1743474,-85.8375034
38.1860457,-85.7842919
38.2243800,-85.6354351
38.1148530,-85.6756387
38.2606218,-85.7818036
38.1430750,-85.8671815
38.2619923,-85.7126765
38.2453615,-85.6630428
38.1420153,-85.6604956
38.1400058,-85.8566489
38.0630229,-85.8997902
38.1742186,-85.7706227
38.2466632,-85.8061129
38.1090117,-85.6644388
38.2194034,-85.6651031
38.2643530,-85.7845806
38.1261730,-85.5813814
38.2545184,-85.7056038
38.1965286,-85.7161677
38.2259087,-85.8135107
38.1115704,-85.8843665
38.1117726,-85.8856505
38.2026121,-85.8394873
38.1798495,-85.7919879
38.1745610,-85.6711292
38.2213767,-85.8039877
38.2465473,-85.6641850
38.1698408,-85.7113719
38.1654651,-85.7118244
38.2657936,-85.6421801
38.1097996,-85.8586844
38.1097012,-85.8586455
38.2162289,-85.7993461
38.1579539,-85.8375442
38.1487216,-85.6380811
38.2383098,-85.7835716
38.1196866,-85.5782738
38.2075575,-85.8548775
38.1684097,-85.5806499
38.2712108,-85.5663670
38.2587507,-85.6221004
